ts,phase,elapsed_s,put_15s,isFg,startReq,finished,conflict_cum
2026-08-17T18:43:05.3199719+02:00,FG,0,13,true,true,0,96
2026-08-17T18:43:21.7257974+02:00,FG,16,3,true,true,1,96
2026-08-17T18:43:26.0198053+02:00,FG,20,0,true,true,1,96
2026-08-17T18:43:29.9887334+02:00,HOME,0,0,true,true,0,103
2026-08-17T18:43:47.0213294+02:00,HOME,17,20,true,true,1,118
2026-08-17T18:44:04.5836487+02:00,HOME,34,16,true,true,1,110
2026-08-17T18:44:21.4576609+02:00,HOME,51,0,true,true,1,92
2026-08-17T18:44:38.5042494+02:00,HOME,68,3,true,true,2,76
2026-08-17T18:44:55.7368338+02:00,HOME,85,3,true,true,3,78
2026-08-17T18:45:13.5838484+02:00,HOME,103,3,true,true,4,78
2026-08-17T18:45:30.5805776+02:00,HOME,120,9,true,true,1,68
