"file","http_ts","ack","reason","queue_item_id","mission","session","sequence","capture","trace","flush","durability","raw_snip"
"logcat_resume_T12_stabilize.txt","08-14 18:17:39.131","ingested_non_persisted","ledger_ids_missing","trk_1786723829101_tdhsi20c","26","","","","mob_mst5hpld_x9gqufr0","http_fallback","'queued_async'","08-14 18:17:39.131 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:39.131 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:39.131 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:39.131 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723829101_tdhsi20c', | 08-14 18:17:39.131 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:42.940","ingested_non_persisted","ledger_ids_missing","trk_1786723792342_u8w2gqur","26","","","","mob_mst5hs0p_5unighqe","http_fallback","'queued_async'","08-14 18:17:42.940 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:42.940 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:42.940 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:42.940 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723792342_u8w2gqur', | 08-14 18:17:42.940 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:43.656","duplicate","duplicate_event_id_unproven","trk_1786723810647_11n415gl","26","","","","mob_mst5hsm5_78wz9wkv","http_fallback","null","08-14 18:17:43.656 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:43.656 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:43.656 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:43.656 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723810647_11n415gl', | 08-14 18:17:43.656 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:44.281","duplicate","duplicate_event_id_unproven","trk_1786723829101_tdhsi20c","26","","","","mob_mst5ht61_qaa656uv","http_fallback","null","08-14 18:17:44.281 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:44.281 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:44.281 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:44.281 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723829101_tdhsi20c', | 08-14 18:17:44.281 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:45.407","duplicate","duplicate_event_id_unproven","trk_1786723792342_u8w2gqur","26","","","","mob_mst5htot_mgdbucq8","http_fallback","null","08-14 18:17:45.407 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:45.407 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:45.407 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:45.407 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723792342_u8w2gqur', | 08-14 18:17:45.407 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:45.925","ingested_non_persisted","ledger_ids_missing","trk_1786723810647_11n415gl","26","","","","mob_mst5huir_dnma93r5","http_fallback","'queued_async'","08-14 18:17:45.925 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:45.925 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:45.925 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:45.925 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723810647_11n415gl', | 08-14 18:17:45.925 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:46.272","ingested_non_persisted","ledger_ids_missing","trk_1786723829101_tdhsi20c","26","","","","mob_mst5hux1_g9u56clc","http_fallback","'queued_async'","08-14 18:17:46.272 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:46.272 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:46.272 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:46.272 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723829101_tdhsi20c', | 08-14 18:17:46.272 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:46.579","ingested_non_persisted","ledger_ids_missing","trk_1786723792342_u8w2gqur","26","","","","mob_mst5hv6t_w4eeza1s","http_fallback","'queued_async'","08-14 18:17:46.579 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:46.579 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:46.579 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:46.579 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723792342_u8w2gqur', | 08-14 18:17:46.579 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:46.978","duplicate","duplicate_event_id_unproven","trk_1786723810647_11n415gl","26","","","","mob_mst5hvf8_jvfwk5ys","http_fallback","null","08-14 18:17:46.978 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:46.978 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:46.978 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:46.978 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723810647_11n415gl', | 08-14 18:17:46.978 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:47.308","duplicate","duplicate_event_id_unproven","trk_1786723829101_tdhsi20c","26","","","","mob_mst5hvqg_mzrmwrnx","http_fallback","null","08-14 18:17:47.308 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:47.308 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:47.308 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:47.308 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723829101_tdhsi20c', | 08-14 18:17:47.308 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:47.673","duplicate","duplicate_event_id_unproven","trk_1786723792342_u8w2gqur","26","","","","mob_mst5hw01_tpyg0vqm","http_fallback","null","08-14 18:17:47.673 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:47.673 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:47.673 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:47.673 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723792342_u8w2gqur', | 08-14 18:17:47.673 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:48.256","ingested_non_persisted","ledger_ids_missing","trk_1786723810647_11n415gl","26","trk_sess_1786722711491_2h9hb2ps","","","mob_mst5hw9m_10z5xs0b","http_fallback","'queued_async'","08-14 18:17:48.256 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:48.256 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:48.256 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:48.256 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723810647_11n415gl', | 08-14 18:17:48.256 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:48.697","ingested_non_persisted","ledger_ids_missing","trk_1786723829101_tdhsi20c","26","","","","mob_mst5hwpt_4vl5379p","http_fallback","'queued_async'","08-14 18:17:48.697 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:48.697 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:48.697 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:48.697 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723829101_tdhsi20c', | 08-14 18:17:48.697 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:51.865","ingested_non_persisted","ledger_ids_missing","trk_1786723792342_u8w2gqur","26","","","","mob_mst5hzdv_0hfg4gmd","http_fallback","'queued_async'","08-14 18:17:51.865 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:51.865 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:51.865 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:51.865 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723792342_u8w2gqur', | 08-14 18:17:51.865 28854 30615 I Re"
"logcat_resume_T12_stabilize.txt","08-14 18:17:51.928","duplicate","duplicate_event_id_unproven","trk_1786723810647_11n415gl","26","","","","mob_mst5hzi2_v6lk8xqi","http_fallback","null","08-14 18:17:51.928 28854 30615 I ReactNativeJS: '[driver-telemetry] tracking.ingest.ack', { source: 'driver.tracking.queue', | 08-14 18:17:51.928 28854 30615 I ReactNativeJS:   mission_id: 26, | 08-14 18:17:51.928 28854 30615 I ReactNativeJS:   flush_path: 'http_fallback', | 08-14 18:17:51.928 28854 30615 I ReactNativeJS:   queue_item_id: 'trk_1786723810647_11n415gl', | 08-14 18:17:51.928 28854 30615 I Re"
