ts,phase,elapsed_s,fgCount,binds,isFg,startReq,finished_delta,unregister_delta,put_n,loc_n,note
2026-08-17T00:59:12.2932255+02:00,FG,0,9,9,true,true,0,0,33,-1,
2026-08-17T00:59:58.9024677+02:00,FG,47,9,9,true,true,2,0,26,-1,
2026-08-17T01:00:45.6965939+02:00,FG,93,9,9,true,true,1,0,22,-1,
2026-08-17T01:01:32.0385669+02:00,FG,140,9,9,true,true,1,0,19,-1,
2026-08-17T01:02:18.9471829+02:00,FG,180,9,9,true,true,1,0,20,-1,
2026-08-17T01:02:35.2825925+02:00,HOME,0,9,9,true,true,1,0,18,-1,
2026-08-17T01:03:22.8277630+02:00,HOME,46,9,9,true,true,2,0,14,-1,
2026-08-17T01:04:10.2896532+02:00,HOME,94,9,9,true,true,4,0,15,-1,
2026-08-17T01:04:57.0547861+02:00,HOME,141,9,9,true,true,3,0,15,-1,
2026-08-17T01:05:43.4287007+02:00,HOME,188,9,9,true,true,4,0,15,-1,
2026-08-17T01:06:29.9957848+02:00,HOME,234,9,9,true,true,3,0,12,-1,
2026-08-17T01:07:16.1018060+02:00,HOME,281,9,9,true,true,4,0,15,-1,
2026-08-17T01:08:02.8124550+02:00,HOME,327,9,9,true,true,3,0,15,-1,
2026-08-17T01:08:48.5419065+02:00,HOME,374,9,9,true,true,4,0,15,-1,
2026-08-17T01:09:35.0517041+02:00,HOME,419,9,9,true,true,3,0,15,-1,
2026-08-17T01:10:28.6236601+02:00,HOME,466,9,9,true,true,3,0,15,-1,
2026-08-17T01:11:15.2988299+02:00,HOME,480,9,9,true,true,4,0,12,-1,
